Año	Mes	violence type	CaseCount
2001	2	VS	1633
2001	3	VI	40
2001	3	VS	1870
2001	4	VI	36
2001	4	VS	1674
2001	5	VI	40
2001	5	VS	1725
2001	6	VI	58
2001	6	VS	1694
2001	7	VI	54
2001	7	VS	1551
2001	8	VI	60
2001	8	VS	1847
2001	9	VI	41
2001	9	VS	1707
2001	10	VI	39
2001	10	VS	1836
2001	11	VI	55
2001	11	VS	1772
2001	12	VI	39
2001	12	VS	1933
2002	1	VI	103
2002	1	VS	2451
2002	2	VI	70
2002	2	VS	1952
2002	3	VI	74
2002	3	VS	2025
2002	4	VI	72
2002	4	VS	2159
2002	5	VI	92
2002	5	VS	2242
2002	6	VI	66
2002	6	VS	2235
2002	7	VI	54
2002	7	VS	2019
2002	8	VI	89
2002	8	VS	2109
2002	9	VI	79
2002	9	VS	1971
2002	10	VI	63
2002	10	VS	1879
2002	11	VI	61
2002	11	VS	1894
2002	12	VI	68
2002	12	VS	1601
2003	1	VI	99
2003	1	VS	2101
2003	2	VI	76
2003	2	VS	1803
2003	3	VI	79
2003	3	VS	1898
2003	4	VI	91
2003	4	VS	1530
2003	5	VI	98
2003	5	VS	1746
2003	6	VI	134
2003	6	VS	1522
2003	7	VI	131
2003	7	VS	1512
2003	8	VI	92
2003	8	VS	1685
2003	9	VI	101
2003	9	VS	1352
2003	10	VI	110
2003	10	VS	1356
2003	11	VI	86
2003	11	VS	1447
2003	12	VI	68
2003	12	VS	1337
2004	1	VI	140
2004	1	VS	1566
2004	2	VI	111
2004	2	VS	1310
2004	3	VI	126
2004	3	VS	1415
2004	4	VI	114
2004	4	VS	1348
2004	5	VI	117
2004	5	VS	1392
2004	6	VI	118
2004	6	VS	1304
2004	7	VI	136
2004	7	VS	1129
2004	8	VI	97
2004	8	VS	1234
2004	9	VI	134
2004	9	VS	1101
2004	10	VI	147
2004	10	VS	1050
2004	11	VI	85
2004	11	VS	1114
2004	12	VI	115
2004	12	VS	1083
2005	1	VI	131
2005	1	VS	1142
2005	2	VI	138
2005	2	VS	849
2005	3	VI	89
2005	3	VS	925
2005	4	VI	100
2005	4	VS	856
2005	5	VI	87
2005	5	VS	1007
2005	6	VI	92
2005	6	VS	934
2005	7	VI	91
2005	7	VS	784
2005	8	VI	109
2005	8	VS	701
2005	9	VI	89
2005	9	VS	670
2005	10	VI	69
2005	10	VS	636
2005	11	VI	93
2005	11	VS	718
2005	12	VI	111
2005	12	VS	656
2006	1	VI	122
2006	1	VS	660
2006	2	VI	127
2006	2	VS	490
2006	3	VI	126
2006	3	VS	465
2006	4	VI	118
2006	4	VS	446
2006	5	VI	110
2006	5	VS	430
2006	6	VI	77
2006	6	VS	490
2006	7	VI	105
2006	7	VS	444
2006	8	VI	118
2006	8	VS	473
2006	9	VI	112
2006	9	VS	444
2006	10	VI	96
2006	10	VS	457
2006	11	VI	85
2006	11	VS	458
2006	12	VI	84
2006	12	VS	458
2007	1	VI	127
2007	1	VS	590
2007	2	VI	103
2007	2	VS	397
2007	3	VI	142
2007	3	VS	398
2007	4	VI	103
2007	4	VS	378
2007	5	VI	112
2007	5	VS	383
2007	6	VI	88
2007	6	VS	375
2007	7	VI	84
2007	7	VS	385
2007	8	VI	86
2007	8	VS	313
2007	9	VI	93
2007	9	VS	327
2007	10	VI	89
2007	10	VS	334
2007	11	VI	71
2007	11	VS	339
2007	12	VI	50
2007	12	VS	336
2008	1	VI	96
2008	1	VS	427
2008	2	VI	147
2008	2	VS	306
2008	3	VI	92
2008	3	VS	322
2008	4	VI	67
2008	4	VS	288
2008	5	VI	66
2008	5	VS	265
2008	6	VI	74
2008	6	VS	258
2008	7	VI	95
2008	7	VS	287
2008	8	VI	115
2008	8	VS	285
2008	9	VI	85
2008	9	VS	253
2008	10	VI	89
2008	10	VS	254
2008	11	VI	50
2008	11	VS	278
2008	12	VI	67
2008	12	VS	251
2009	1	VI	110
2009	1	VS	282
2009	2	VI	78
2009	2	VS	247
2009	3	VI	125
2009	3	VS	268
2009	4	VI	115
2009	4	VS	290
2009	5	VI	86
2009	5	VS	274
2009	6	VI	94
2009	6	VS	238
2009	7	VI	76
2009	7	VS	270
2009	8	VI	75
2009	8	VS	250
2009	9	VI	92
2009	9	VS	226
2009	10	VI	70
2009	10	VS	270
2009	11	VI	71
2009	11	VS	241
2009	12	VI	90
2009	12	VS	234
2010	1	VI	92
2010	1	VS	259
2010	2	VI	63
2010	2	VS	187
2010	3	VI	84
2010	3	VS	220
2010	4	VI	162
2010	4	VS	189
2010	5	VI	93
2010	5	VS	210
2010	6	VI	77
2010	6	VS	223
2010	7	VI	63
2010	7	VS	197
2010	8	VI	71
2010	8	VS	223
2010	9	VI	60
2010	9	VS	215
2010	10	VI	97
2010	10	VS	201
2010	11	VI	95
2010	11	VS	239
2010	12	VI	37
2010	12	VS	204
2011	1	VI	81
2011	1	VS	193
2011	2	VI	88
2011	2	VS	179
2011	3	VI	73
2011	3	VS	230
2011	4	VI	78
2011	4	VS	182
2011	5	VI	81
2011	5	VS	247
2011	6	VI	91
2011	6	VS	207
2011	7	VI	67
2011	7	VS	202
2011	8	VI	69
2011	8	VS	227
2011	9	VI	57
2011	9	VS	202
2011	10	VI	48
2011	10	VS	190
2011	11	VI	59
2011	11	VS	222
2011	12	VI	59
2011	12	VS	198
2012	1	VI	70
2012	1	VS	239
2012	2	VI	78
2012	2	VS	192
2012	3	VI	49
2012	3	VS	188
2012	4	VI	48
2012	4	VS	159
2012	5	VI	55
2012	5	VS	198
2012	6	VI	66
2012	6	VS	196
2012	7	VI	52
2012	7	VS	163
2012	8	VI	60
2012	8	VS	177
2012	9	VI	50
2012	9	VS	200
2012	10	VI	51
2012	10	VS	175
2012	11	VI	53
2012	11	VS	156
2012	12	VI	31
2012	12	VS	150
2013	1	VI	50
2013	1	VS	112
2013	2	VI	58
2013	2	VS	125
2013	3	VI	46
2013	3	VS	123
2013	4	VI	45
2013	4	VS	91
2013	5	VI	45
2013	5	VS	82
2013	6	VI	46
2013	6	VS	79
2013	7	VI	48
2013	7	VS	87
2013	8	VI	33
2013	8	VS	102
2013	9	VI	35
2013	9	VS	102
2013	10	VI	35
2013	10	VS	75
2013	11	VI	40
2013	11	VS	102
2013	12	VI	37
2013	12	VS	85
2014	1	VI	34
2014	1	VS	106
2014	2	VI	30
2014	2	VS	106
2014	3	VI	40
2014	3	VS	125
2014	4	VI	41
2014	4	VS	94
2014	5	VI	41
2014	5	VS	118
2014	6	VI	32
2014	6	VS	103
2014	7	VI	28
2014	7	VS	141
2014	8	VI	25
2014	8	VS	131
2014	9	VI	40
2014	9	VS	110
2014	10	VI	29
2014	10	VS	122
2014	11	VI	47
2014	11	VS	124
2014	12	VI	21
2014	12	VS	79
2015	1	VI	18
2015	1	VS	103
2015	2	VI	15
2015	2	VS	68
2015	3	VI	26
2015	3	VS	70
2015	4	VI	17
2015	4	VS	56
2015	5	VI	34
2015	5	VS	80
2015	6	VI	20
2015	6	VS	57
2015	7	VI	23
2015	7	VS	90
2015	8	VI	16
