Año	Mes	violence type	VictimsCount	Escalation	Intensity	Previous State
1969	11	VI	21.0	1	1	C
1969	11	VS	9.0	-1	1	A
1969	12	VC	34.0	1	1	C
1969	12	VI	23.0	1	1	A
1969	12	VS	11.0	1	1	C
1970	1	VC	42.0	1	1	A
1970	1	VI	21.0	-1	1	A
1970	1	VS	21.0	1	1	A
1970	2	VC	39.0	-1	1	A
1970	2	VI	20.0	-1	1	C
1970	2	VS	19.0	-1	1	A
1970	3	VC	32.0	-1	1	C
1970	3	VI	4.0	-1	-1	C
1970	3	VS	28.0	1	1	C
1970	4	VC	30.0	-1	1	C
1970	4	VI	21.0	1	1	I
1970	4	VS	9.0	-1	-1	A
1970	5	VC	37.0	1	1	C
1970	5	VI	7.0	-1	-1	A
1970	5	VS	30.0	1	1	I
1970	6	VC	21.0	-1	1	A
1970	6	VI	14.0	1	1	I
1970	6	VS	7.0	-1	-1	A
1970	7	VC	42.0	1	1	C
1970	7	VI	23.0	1	1	A
1970	7	VS	19.0	1	1	I
1970	8	VC	22.0	-1	0	A
1970	8	VI	10.0	-1	-1	A
1970	8	VS	12.0	-1	1	A
1970	9	VC	22.0	0	-1	F
1970	9	VI	7.0	-1	-1	I
1970	9	VS	15.0	1	1	C
1970	10	VC	9.0	-1	-1	H
1970	10	VI	3.0	-1	-1	I
1970	10	VS	6.0	-1	-1	A
1970	11	VC	9.0	0	-1	I
1970	11	VI	2.0	-1	-1	I
1970	11	VS	7.0	1	-1	I
1970	12	VC	18.0	1	-1	H
1970	12	VI	15.0	1	1	I
1970	12	VS	3.0	-1	-1	G
1971	1	VC	44.0	1	1	G
1971	1	VI	34.0	1	1	A
1971	1	VS	10.0	1	-1	I
1971	2	VC	56.0	1	1	A
1971	2	VI	41.0	1	1	A
1971	2	VS	15.0	1	1	G
1971	3	VC	9.0	-1	-1	A
1971	3	VI	7.0	-1	-1	A
1971	3	VS	2.0	-1	-1	A
1971	4	VC	28.0	1	1	I
1971	4	VI	24.0	1	1	I
1971	4	VS	4.0	1	-1	I
1971	5	VC	14.0	-1	-1	A
1971	5	VI	11.0	-1	-1	A
1971	5	VS	3.0	-1	-1	G
1971	6	VC	5.0	-1	-1	I
1971	6	VI	2.0	-1	-1	I
1971	6	VS	3.0	0	-1	I
1971	7	VC	10.0	1	-1	I
1971	7	VI	7.0	1	-1	I
1971	7	VS	3.0	0	-1	H
1971	8	VC	8.0	-1	-1	G
1971	8	VI	2.0	-1	-1	G
1971	8	VS	6.0	1	-1	H
1971	9	VC	20.0	1	-1	I
1971	9	VI	17.0	1	1	I
1971	9	VS	3.0	-1	-1	G
1971	10	VC	11.0	-1	-1	G
1971	10	VI	8.0	-1	-1	A
1971	10	VS	3.0	0	-1	I
1971	11	VC	17.0	1	-1	I
1971	11	VI	11.0	1	-1	I
1971	11	VS	6.0	1	-1	H
1971	12	VC	9.0	-1	-1	G
1971	12	VI	4.0	-1	-1	G
1971	12	VS	5.0	-1	-1	G
1972	1	VC	21.0	1	-1	I
1972	1	VI	6.0	1	-1	I
1972	1	VS	15.0	1	1	I
1972	2	VC	5.0	-1	-1	G
1972	2	VI	2.0	-1	-1	G
1972	2	VS	3.0	-1	-1	A
1972	3	VC	18.0	1	-1	I
1972	3	VI	6.0	1	-1	I
1972	3	VS	12.0	1	1	I
1972	4	VC	23.0	1	-1	G
1972	4	VI	19.0	1	1	G
1972	4	VS	4.0	-1	-1	A
1972	5	VC	19.0	-1	-1	G
1972	5	VI	0.0	-1	-1	A
1972	5	VS	19.0	1	1	I
1972	6	VC	15.0	-1	-1	I
1972	6	VI	6.0	1	-1	I
1972	6	VS	9.0	-1	-1	A
1972	7	VC	6.0	-1	-1	I
1972	7	VI	3.0	-1	-1	G
1972	7	VS	3.0	-1	-1	I
1972	8	VC	9.0	1	-1	I
1972	8	VI	6.0	1	-1	I
1972	8	VS	3.0	0	-1	I
1972	9	VC	12.0	1	-1	G
1972	9	VI	5.0	-1	-1	G
1972	9	VS	7.0	1	-1	H
1972	10	VC	6.0	-1	-1	G
1972	10	VI	3.0	-1	-1	I
1972	10	VS	3.0	-1	-1	G
1972	11	VC	19.0	1	-1	I
1972	11	VI	12.0	1	1	I
1972	11	VS	7.0	1	-1	I
1972	12	VC	4.0	-1	-1	G
1972	12	VI	4.0	-1	-1	A
1972	12	VS	0.0	-1	-1	G
1973	1	VC	27.0	1	1	I
1973	1	VI	18.0	1	1	I
1973	1	VS	9.0	1	1	I
1973	2	VC	26.0	-1	1	A
1973	2	VI	22.0	1	1	A
1973	2	VS	4.0	-1	-1	A
1973	3	VC	3.0	-1	-1	C
1973	3	VI	2.0	-1	-1	A
1973	3	VS	1.0	-1	-1	I
1973	4	VC	19.0	1	1	I
1973	4	VI	17.0	1	1	I
1973	4	VS	2.0	1	-1	I
1973	5	VC	7.0	-1	-1	A
1973	5	VI	4.0	-1	-1	A
1973	5	VS	3.0	1	-1	G
1973	6	VC	19.0	1	1	I
1973	6	VI	9.0	1	-1	I
1973	6	VS	10.0	1	1	G
1973	7	VC	8.0	-1	-1	A
1973	7	VI	1.0	-1	-1	G
1973	7	VS	7.0	-1	1	A
1973	8	VC	7.0	-1	-1	I
1973	8	VI	3.0	1	-1	I
1973	8	VS	4.0	-1	-1	C
1973	9	VC	25.0	1	1	I
1973	9	VI	23.0	1	1	G
1973	9	VS	2.0	-1	-1	I
1973	10	VC	24.0	-1	1	A
1973	10	VI	19.0	-1	1	A
1973	10	VS	5.0	1	-1	I
1973	11	VC	6.0	-1	-1	C
1973	11	VI	5.0	-1	-1	C
1973	11	VS	1.0	-1	-1	G
1973	12	VC	17.0	1	1	I
1973	12	VI	15.0	1	1	I
1973	12	VS	2.0	1	-1	I
1974	1	VC	55.0	1	1	A
1974	1	VI	3.0	-1	-1	A
1974	1	VS	52.0	1	1	G
1974	2	VC	22.0	-1	1	A
1974	2	VI	17.0	1	1	I
1974	2	VS	5.0	-1	-1	A
1974	3	VC	6.0	-1	-1	C
1974	3	VI	4.0	-1	-1	A
1974	3	VS	2.0	-1	-1	I
1974	4	VC	20.0	1	1	I
1974	4	VI	4.0	0	-1	I
1974	4	VS	16.0	1	1	I
