Año	Mes	violence type	VictimsCount
2002	1	VI	65
2002	1	VS	2009
2002	2	VI	24
2002	2	VS	1780
2002	3	VI	62
2002	3	VS	1993
2002	4	VI	36
2002	4	VS	2024
2002	5	VI	43
2002	5	VS	2206
2002	6	VI	23
2002	6	VS	2060
2002	7	VI	20
2002	7	VS	1944
2002	8	VI	61
2002	8	VS	2100
2002	9	VI	47
2002	9	VS	1841
2002	10	VI	24
2002	10	VS	1764
2002	11	VI	25
2002	11	VS	1811
2002	12	VI	27
2002	12	VS	1519
2003	1	VI	36
2003	1	VS	1824
2003	2	VI	88
2003	2	VS	1626
2003	3	VI	54
2003	3	VS	1828
2003	4	VI	41
2003	4	VS	1510
2003	5	VI	45
2003	5	VS	1645
2003	6	VI	47
2003	6	VS	1417
2003	7	VI	51
2003	7	VS	1393
2003	8	VI	50
2003	8	VS	1432
2003	9	VI	58
2003	9	VS	1221
2003	10	VI	61
2003	10	VS	1226
2003	11	VI	31
2003	11	VS	1287
2003	12	VI	26
2003	12	VS	1210
2004	1	VI	59
2004	1	VS	1252
2004	2	VI	72
2004	2	VS	1098
2004	3	VI	113
2004	3	VS	1258
2004	4	VI	55
2004	4	VS	1190
2004	5	VI	61
2004	5	VS	1292
2004	6	VI	83
2004	6	VS	1196
2004	7	VI	77
2004	7	VS	1024
2004	8	VI	45
2004	8	VS	1137
2004	9	VI	61
2004	9	VS	958
2004	10	VI	76
2004	10	VS	876
2004	11	VI	48
2004	11	VS	947
2004	12	VI	55
2004	12	VS	941
2005	1	VI	69
2005	1	VS	929
2005	2	VI	90
2005	2	VS	758
2005	3	VI	55
2005	3	VS	786
2005	4	VI	65
2005	4	VS	761
2005	5	VI	68
2005	5	VS	857
2005	6	VI	54
2005	6	VS	791
2005	7	VI	58
2005	7	VS	702
2005	8	VI	48
2005	8	VS	650
2005	9	VI	49
2005	9	VS	572
2005	10	VI	48
2005	10	VS	560
2005	11	VI	59
2005	11	VS	630
2005	12	VI	62
2005	12	VS	533
2006	1	VI	53
2006	1	VS	487
2006	2	VI	105
2006	2	VS	470
2006	3	VI	101
2006	3	VS	389
2006	4	VI	97
2006	4	VS	368
2006	5	VI	84
2006	5	VS	354
2006	6	VI	48
2006	6	VS	389
2006	7	VI	94
2006	7	VS	404
2006	8	VI	116
2006	8	VS	412
2006	9	VI	87
2006	9	VS	330
2006	10	VI	76
2006	10	VS	360
2006	11	VI	64
2006	11	VS	382
2006	12	VI	42
2006	12	VS	387
2007	1	VI	74
2007	1	VS	360
2007	2	VI	78
2007	2	VS	280
2007	3	VI	107
2007	3	VS	284
2007	4	VI	71
2007	4	VS	279
2007	5	VI	91
2007	5	VS	271
2007	6	VI	67
2007	6	VS	286
2007	7	VI	58
2007	7	VS	289
2007	8	VI	64
2007	8	VS	246
2007	9	VI	74
2007	9	VS	242
2007	10	VI	81
2007	10	VS	249
2007	11	VI	50
2007	11	VS	225
2007	12	VI	35
2007	12	VS	257
2008	1	VI	44
2008	1	VS	323
2008	2	VI	148
2008	2	VS	234
2008	3	VI	73
2008	3	VS	262
2008	4	VI	51
2008	4	VS	202
2008	5	VI	52
2008	5	VS	185
2008	6	VI	71
2008	6	VS	187
2008	7	VI	76
2008	7	VS	250
2008	8	VI	108
2008	8	VS	212
2008	9	VI	71
2008	9	VS	194
2008	10	VI	84
2008	10	VS	188
2008	11	VI	38
2008	11	VS	219
2008	12	VI	52
2008	12	VS	204
2009	1	VI	72
2009	1	VS	199
2009	2	VI	71
2009	2	VS	212
2009	3	VI	119
2009	3	VS	197
2009	4	VI	104
2009	4	VS	226
2009	5	VI	71
2009	5	VS	191
2009	6	VI	80
2009	6	VS	150
2009	7	VI	56
2009	7	VS	169
2009	8	VI	67
2009	8	VS	175
2009	9	VI	86
2009	9	VS	157
2009	10	VI	54
2009	10	VS	221
2009	11	VI	56
2009	11	VS	171
2009	12	VI	73
2009	12	VS	140
2010	1	VI	54
2010	1	VS	195
2010	2	VI	44
2010	2	VS	121
2010	3	VI	80
2010	3	VS	187
2010	4	VI	152
2010	4	VS	127
2010	5	VI	71
2010	5	VS	154
2010	6	VI	61
2010	6	VS	144
2010	7	VI	42
2010	7	VS	167
2010	8	VI	54
2010	8	VS	135
2010	9	VI	45
2010	9	VS	154
2010	10	VI	109
2010	10	VS	162
2010	11	VI	78
2010	11	VS	157
2010	12	VI	23
2010	12	VS	123
2011	1	VI	49
2011	1	VS	132
2011	2	VI	82
2011	2	VS	125
2011	3	VI	64
2011	3	VS	172
2011	4	VI	71
2011	4	VS	121
2011	5	VI	67
2011	5	VS	194
2011	6	VI	70
2011	6	VS	156
2011	7	VI	62
2011	7	VS	156
2011	8	VI	56
2011	8	VS	182
2011	9	VI	51
2011	9	VS	148
2011	10	VI	45
2011	10	VS	137
2011	11	VI	49
2011	11	VS	156
2011	12	VI	45
2011	12	VS	126
2012	1	VI	38
2012	1	VS	190
2012	2	VI	100
2012	2	VS	150
2012	3	VI	43
2012	3	VS	160
2012	4	VI	38
2012	4	VS	101
2012	5	VI	39
2012	5	VS	144
2012	6	VI	58
2012	6	VS	184
2012	7	VI	44
2012	7	VS	155
2012	8	VI	63
2012	8	VS	179
2012	9	VI	54
2012	9	VS	159
2012	10	VI	42
2012	10	VS	159
2012	11	VI	44
2012	11	VS	144
2012	12	VI	18
2012	12	VS	148
2013	1	VI	36
2013	1	VS	127
2013	2	VI	54
2013	2	VS	127
2013	3	VI	32
2013	3	VS	129
2013	4	VI	34
2013	4	VS	98
2013	5	VI	30
2013	5	VS	97
2013	6	VI	34
2013	6	VS	79
2013	7	VI	37
2013	7	VS	99
2013	8	VI	28
2013	8	VS	109
2013	9	VI	27
2013	9	VS	103
2013	10	VI	22
2013	10	VS	75
2013	11	VI	30
2013	11	VS	102
2013	12	VI	31
2013	12	VS	85
2014	1	VI	26
2014	1	VS	101
2014	2	VI	32
2014	2	VS	113
2014	3	VI	32
2014	3	VS	137
2014	4	VI	22
2014	4	VS	95
2014	5	VI	33
2014	5	VS	119
2014	6	VI	19
2014	6	VS	101
2014	7	VI	21
2014	7	VS	134
2014	8	VI	16
2014	8	VS	127
2014	9	VI	22
2014	9	VS	103
2014	10	VI	19
2014	10	VS	109
2014	11	VI	31
2014	11	VS	122
2014	12	VI	12
2014	12	VS	86
2015	1	VI	12
2015	1	VS	121
2015	2	VI	10
2015	2	VS	84
2015	3	VI	18
2015	3	VS	78
2015	4	VI	9
2015	4	VS	69
2015	5	VI	23
2015	5	VS	74
2015	6	VI	20
2015	6	VS	59
2015	7	VI	12
2015	7	VS	191
2015	8	VI	15
