Año	Mes	violence type	VictimsCount	Escalation	Intensity	Previous State
1969	8	VI	0.0	0	0	E
1969	8	VS	14.0	1	1	A
1969	9	VC	2.0	-1	-1	A
1969	9	VI	0.0	0	0	E
1969	9	VS	2.0	-1	-1	A
1969	10	VC	22.0	1	1	I
1969	10	VI	0.0	0	0	E
1969	10	VS	22.0	1	1	I
1969	11	VC	5.0	-1	-1	A
1969	11	VI	0.0	0	0	E
1969	11	VS	5.0	-1	-1	A
1969	12	VC	4.0	-1	-1	I
1969	12	VI	0.0	0	0	E
1969	12	VS	4.0	-1	-1	I
1970	1	VC	17.0	1	1	I
1970	1	VI	0.0	0	0	E
1970	1	VS	17.0	1	1	I
1970	2	VC	21.0	1	1	A
1970	2	VI	2.0	1	1	E
1970	2	VS	19.0	1	1	A
1970	3	VC	28.0	1	1	A
1970	3	VI	0.0	-1	-1	A
1970	3	VS	28.0	1	1	A
1970	4	VC	9.0	-1	1	A
1970	4	VI	0.0	0	-1	I
1970	4	VS	9.0	-1	1	A
1970	5	VC	30.0	1	1	C
1970	5	VI	0.0	0	-1	H
1970	5	VS	30.0	1	1	C
1970	6	VC	7.0	-1	-1	A
1970	6	VI	0.0	0	-1	H
1970	6	VS	7.0	-1	-1	A
1970	7	VC	19.0	1	1	I
1970	7	VI	0.0	0	-1	H
1970	7	VS	19.0	1	1	I
1970	8	VC	12.0	-1	1	A
1970	8	VI	0.0	0	-1	H
1970	8	VS	12.0	-1	1	A
1970	9	VC	15.0	1	1	C
1970	9	VI	0.0	0	-1	H
1970	9	VS	15.0	1	1	C
1970	10	VC	6.0	-1	-1	A
1970	10	VI	0.0	0	-1	H
1970	10	VS	6.0	-1	-1	A
1970	11	VC	7.0	1	-1	I
1970	11	VI	0.0	0	-1	H
1970	11	VS	7.0	1	-1	I
1970	12	VC	3.0	-1	-1	G
1970	12	VI	0.0	0	-1	H
1970	12	VS	3.0	-1	-1	G
1971	1	VC	10.0	1	-1	I
1971	1	VI	0.0	0	-1	H
1971	1	VS	10.0	1	-1	I
1971	2	VC	13.0	1	1	G
1971	2	VI	0.0	0	-1	H
1971	2	VS	13.0	1	1	G
1971	3	VC	2.0	-1	-1	A
1971	3	VI	0.0	0	-1	H
1971	3	VS	2.0	-1	-1	A
1971	4	VC	4.0	1	-1	I
1971	4	VI	0.0	0	-1	H
1971	4	VS	4.0	1	-1	I
1971	5	VC	3.0	-1	-1	G
1971	5	VI	0.0	0	-1	H
1971	5	VS	3.0	-1	-1	G
1971	6	VC	2.0	-1	-1	I
1971	6	VI	0.0	0	-1	H
1971	6	VS	2.0	-1	-1	I
1971	7	VC	1.0	-1	-1	I
1971	7	VI	0.0	0	-1	H
1971	7	VS	1.0	-1	-1	I
1971	8	VC	6.0	1	-1	I
1971	8	VI	0.0	0	-1	H
1971	8	VS	6.0	1	-1	I
1971	9	VC	3.0	-1	-1	G
1971	9	VI	0.0	0	-1	H
1971	9	VS	3.0	-1	-1	G
1971	10	VC	3.0	0	-1	I
1971	10	VI	0.0	0	-1	H
1971	10	VS	3.0	0	-1	I
1971	11	VC	6.0	1	-1	H
