Año	Mes	violence type	CaseCount	Escalation	Intensity	Previous State
1967	12	VC	2.0	1	-1	H
1967	12	VI	0.0	0	-1	H
1967	12	VS	2.0	1	-1	H
1968	1	VC	10.0	1	1	G
1968	1	VI	0.0	0	-1	H
1968	1	VS	10.0	1	1	G
1968	2	VC	4.0	-1	-1	A
1968	2	VI	0.0	0	-1	H
1968	2	VS	4.0	-1	-1	A
1968	3	VC	9.0	1	1	I
1968	3	VI	0.0	0	-1	H
1968	3	VS	9.0	1	1	I
1968	4	VC	3.0	-1	-1	A
1968	4	VI	0.0	0	-1	H
1968	4	VS	3.0	-1	-1	A
1968	5	VC	4.0	1	1	I
1968	5	VI	0.0	0	-1	H
1968	5	VS	4.0	1	1	I
1968	6	VC	3.0	-1	-1	A
1968	6	VI	0.0	0	-1	H
1968	6	VS	3.0	-1	-1	A
1968	7	VC	0.0	-1	-1	I
1968	7	VI	0.0	0	0	H
1968	7	VS	0.0	-1	-1	I
1968	8	VC	2.0	1	-1	I
1968	8	VI	0.0	0	0	E
1968	8	VS	2.0	1	-1	I
1968	9	VC	4.0	1	1	G
1968	9	VI	0.0	0	0	E
1968	9	VS	4.0	1	1	G
1968	10	VC	4.0	0	1	A
1968	10	VI	0.0	0	0	E
1968	10	VS	4.0	0	1	A
1968	11	VC	9.0	1	1	B
1968	11	VI	0.0	0	0	E
1968	11	VS	9.0	1	1	B
1968	12	VC	2.0	-1	-1	A
1968	12	VI	0.0	0	0	E
1968	12	VS	2.0	-1	-1	A
1969	1	VC	2.0	0	-1	I
1969	1	VI	0.0	0	0	E
1969	1	VS	2.0	0	-1	I
1969	2	VC	5.0	1	1	H
1969	2	VI	0.0	0	0	E
1969	2	VS	5.0	1	1	H
1969	3	VC	8.0	1	1	A
1969	3	VI	0.0	0	0	E
1969	3	VS	8.0	1	1	A
1969	4	VC	4.0	-1	1	A
1969	4	VI	0.0	0	0	E
1969	4	VS	4.0	-1	1	A
1969	5	VC	6.0	1	1	C
1969	5	VI	0.0	0	0	E
1969	5	VS	6.0	1	1	C
1969	6	VC	3.0	-1	1	A
1969	6	VI	0.0	0	0	E
1969	6	VS	3.0	-1	1	A
1969	7	VC	3.0	0	1	C
1969	7	VI	0.0	0	0	E
1969	7	VS	3.0	0	1	C
1969	8	VC	10.0	1	1	B
1969	8	VI	0.0	0	0	E
1969	8	VS	10.0	1	1	B
1969	9	VC	2.0	-1	-1	A
1969	9	VI	0.0	0	0	E
1969	9	VS	2.0	-1	-1	A
1969	10	VC	5.0	1	1	I
1969	10	VI	0.0	0	0	E
1969	10	VS	5.0	1	1	I
1969	11	VC	3.0	-1	-1	A
1969	11	VI	0.0	0	0	E
1969	11	VS	3.0	-1	-1	A
1969	12	VC	5.0	1	1	I
1969	12	VI	0.0	0	0	E
1969	12	VS	5.0	1	1	I
1970	1	VC	13.0	1	1	A
1970	1	VI	1.0	1	1	E
1970	1	VS	12.0	1	1	A
1970	2	VC	11.0	-1	1	A
1970	2	VI	1.0	0	1	A
1970	2	VS	10.0	-1	1	A
1970	3	VC	11.0	0	1	C
1970	3	VI	0.0	-1	-1	B
1970	3	VS	11.0	1	1	C
1970	4	VC	6.0	-1	1	B
1970	4	VI	0.0	0	-1	I
1970	4	VS	6.0	-1	1	A
1970	5	VC	11.0	1	1	C
1970	5	VI	0.0	0	-1	H
1970	5	VS	11.0	1	1	C
1970	6	VC	8.0	-1	1	A
1970	6	VI	0.0	0	-1	H
1970	6	VS	8.0	-1	1	A
1970	7	VC	9.0	1	1	C
1970	7	VI	0.0	0	-1	H
1970	7	VS	9.0	1	1	C
1970	8	VC	5.0	-1	-1	A
